POS;Feat_conv;DEP;XFeat;Etiquette;pb;rq;ordre;
_;1PL;_;_;1PL;;;;
_;1SG;_;_;1SG;;;;
_;2PL;_;_;2PL;;;;
_;2SG;_;_;2SG;;;;
_;3PL;_;_;3PL;;;;
_;3SG;_;_;3SG;;;;
_;ablative;_;Ablative ;ABL;;auxiliaire ?;;X
particle;_;_;Abstract suffix ;ABST;;;1;
_;accusative;_;Accusative ;ACC;;;;
adjective;_;_;Adjective ;ADJ;;;;
particle;_;vocative;Addressee ;ADRE;;;4;
_;_;_;Form of Address;ADRF;;;4;
adverb;_;_;Adverb ;ADV;;;;
adverb;interrogative;_;Interrogative Adverb;ADV.Q;;;;
coordinating conjunction;_;_;Adversative ;ADVS;;;;
_;aorist;_;Aorist ;AOR;;;;
_;foreign;_;Arabic ;ARA;;;;
_;augmentative;_;Augmentative ;AUG;?;;3;
auxiliary;_;_;Auxiliary ;AUX;;;;
auxiliary;_;_;Benefactive (auxiliary);BENF;;;;
_;foreign;_;Borrowing ;BORR;;;;
particle;_;_;Case ;CASE;;;4;
_;causative;causative;Causative ;CAUS;;;;
particle;_;_;Adverbializer circumfix 1;Circ1.ADVZR;feat spécifique ?;;1;
particle;_;_;Adverbializer circumfix 2;Circ2.ADVZR;;;1;
_;comparative;_;Comparative ;CMPR;;;;
noun;_;_;Compound noun;CN;;;;
_;comitative;_;Comitative ;COM;;;;
auxiliary;_;_;Contrastive (auxiliary);CONTR;;;;
coordinating conjunction;_;_;Coordinative ;CCONJ;;;;
subordinating conjunction;_;_;conjunction;CONJ;;;;
coordinating conjunction;_;_;Coordinative ;COORD;;;;
auxiliary;copula;DEP;Copula ;COP;;;;
_;_;DEP;Causal ;CSL;;;3;
_;foreign;_;Codeswitching ;CSW;;;4;
verb;converb;_;converb;CVB;;;;
_;converb;_;Anteriority Converb ;CVB.ANT;;;;X
_;converb;_;Manner Converb ;CVB.MNR;?;;4;
_;converb;_;Simultaneity Converb ;CVB.SMLT;?;converb;4;
_;dative;_;Dative ;DAT;;;;
_;double_causative;_;Double Causative ;DBL.CAUS;;;;
_;definite;_;Definite ;DEF;;;;
particle;_;_;Deitic ;DEICT;;;4;
determiner;demonstrative;_;Demonstrative der derivated;DEM;;;;
determiner;_;_;Determiner ;DET;;;;
_;diminutive;_;Diminutive ;DIM;For Diminutive, Afrikaans (probably closest to Frisian) uses Degree=Dim, while Erzya uses Derivation=Dimin.;;3;
adposition;_;_;Directional ;DIR;;;;
_;demonstrative_dist;_;Distal ;DIST;;;;
_;distributive;_;Distributive ;DISTR;;;;
auxiliary;_;_;Emphatic (auxiliary);EMPH;;;;
_;feminine;_;Feminine ;F;;;;
interjection;_;discourse;Filler ;FILL;;;4;
_;_;_;Focus ;FOC;?;;4;
other;_;_;False Start;FS;;;4;
_;future;_;Future ;FUT;;;;
auxiliary;_;_;Future (auxiliary);FUT;;;;
_;genitive;_;Genitive ;GEN;;;;
other;_;_;Swallowing noise ;GULP;;;;
interjection;_;_;Hesitation ;HESIT;;;;
adverb;_;_;Ideophone ;IDEOPH;;;;
_;imperative;_;Imperative ;IMP;;;;
auxiliary;_;_;Inceptive (auxiliary);INC;;;;
_;indefinite;_;Indefinite ;INDF;;;;
